"","YOB","Gender","Income","EducationLevel","Party","Happy","Q124742","Q124122","Q123464","Q123621","Q122769","Q122770","Q122771","Q122120","Q121699","Q121700","Q120978","Q121011","Q120379","Q120650","Q120472","Q120194","Q120012","Q120014","Q119334","Q119851","Q119650","Q118892","Q118117","Q118232","Q118233","Q118237","Q117186","Q117193","Q116797","Q116881","Q116953","Q116601","Q116441","Q116448","Q116197","Q115602","Q115777","Q115610","Q115611","Q115899","Q115390","Q114961","Q114748","Q115195","Q114517","Q114386","Q113992","Q114152","Q113583","Q113584","Q113181","Q112478","Q112512","Q112270","Q111848","Q111580","Q111220","Q110740","Q109367","Q108950","Q109244","Q108855","Q108617","Q108856","Q108754","Q108342","Q108343","Q107869","Q107491","Q106993","Q106997","Q106272","Q106388","Q106389","Q106042","Q105840","Q105655","Q104996","Q103293","Q102906","Q102674","Q102687","Q102289","Q102089","Q101162","Q101163","Q101596","Q100689","Q100680","Q100562","Q99982","Q100010","Q99716","Q99581","Q99480","Q98869","Q98578","Q98059","Q98078","Q98197","Q96024","minIncome","maxIncome","HasKids","LivesTogether","Less40","Is40to60","More60"
"YOB",1,-0.0165196047527928,0.152517112204744,-0.0849271017802363,-0.0211050948339453,-0.0667145834107746,0.131167216484152,0.127550540108427,0.133250517231044,-0.286569859228729,-0.0391310038664466,-0.103233809495069,-0.0243104981446648,0.178591179552276,-0.184877448712394,0.247273554181326,0.245169737952961,0.0514987166157406,0.260421633015163,-0.0802021886281692,-0.000770214227061818,0.0683009438364742,-0.0602270386267414,0.0960959548723348,0.0972771547602578,-0.0756408859164536,0.245493538213687,-0.251603578119562,0.326321326170513,-0.110851694653273,-0.117579826305547,0.103591908588251,0.0858889433769104,0.00446612107392698,-0.207099548392017,0.0885701418011033,-0.0834136461645295,-0.263401611515013,-0.16814453214127,0.24798458047319,0.275605074570753,-0.0441225575687667,0.0131005964553628,-0.0475424672661773,-0.207198515737595,-0.0869808176072487,0.0524645493439721,0.0899979494029141,-0.0608857679856399,0.0155592142805237,-0.185417820287961,-0.0279497013793449,-0.0872113575627157,-0.186586885561843,0.312691288248754,-0.202578395051136,-0.0887876845266318,0.0321079648270353,0.0287142718999359,0.0103823682148105,0.108928054111215,0.0556828467104616,0.0370664536994967,0.0235047675243652,-0.199572172970528,0.0133344183317476,-0.0530064802011324,-0.0443714398064396,0.098155708869486,-0.0258394859765985,0.273969958710728,-0.126925894197046,-0.133617941516606,-0.2671914435165,-0.0274642376718776,0.0473656088792414,-0.203059433782765,-0.327583765312889,-0.159155522147284,0.245825416375707,-0.317638657285553,-0.160695645233673,0.205065302552772,0.00660292630403608,0.036485038932089,0.0358480478181973,-0.196877525903808,-0.119027423938796,0.00524632379536275,0.254737994027684,0.0954772004411149,0.0805941322478188,-0.196155227914059,-0.354260814159275,0.0925610945149817,0.28152969365358,0.178194449684903,-0.164276857473272,-0.101270515146897,-0.0118371695311837,-0.170930735871152,-0.0429842858917198,0.042405111016996,0.00331509430298596,-0.03097330833601,-0.10063193430518,0.0314877913651135,-0.286984214834518,-0.16330694342149,-0.428480190182743,-0.513865265448432,0.841381930869064,-0.516998485788754,-0.627937705948513
"Gender",-0.0165196047527928,1,0.0123121113456708,0.0428202058708838,0.102363910157559,0.0285597906209173,-0.0360880380693202,-0.013012948593416,-0.0604137174877353,0.123857884212627,0.0228989875047869,0.0561617112279097,-0.0577987242211779,-0.17884227882483,-0.0327810105193969,-0.0497260826420653,-0.0520486645627264,-0.0707364822595122,-0.0322985608746181,0.0090250831251507,0.239986883488499,-0.0085296818344706,-0.113294094891402,0.119445076356059,-0.0125529193358889,-0.0813010559932099,0.0751121102804322,-0.111425294588519,0.00833353664044163,0.0140878124094844,0.0305653796706875,-0.137147112903464,-0.0897118430063089,-0.0210491157392216,-0.0604599904372441,0.1584251068916,-0.132159760881735,0.0558306270180334,0.0537135293217958,-0.0102219033676298,0.00555232163754646,-0.0216494018792415,0.0329070934664825,-0.0326703585706742,0.229517987419577,0.113973275529996,0.0720449014750388,0.0967746390300313,0.0593815740836712,0.021332098717988,-0.0279062972161991,-0.13439166885895,0.107387840110894,-0.00621394426481904,-0.182176496855519,0.0369595017330274,-0.0309288578222879,-0.150598630322634,0.0892628321749746,0.120373066878695,-0.0922609645988197,0.0895184253300012,-0.0853771470823588,0.0181152307422078,-0.0587579436315195,0.0859210404736392,-0.268820672405068,-0.0199244119767878,-0.0838582457062358,0.0205260142047522,0.0297151001738174,-0.13000254602385,-0.0343458335298794,0.00904089964142124,-0.0689991574594561,0.0734559287324828,0.0476387469131976,0.175508636531885,0.0850019646517178,0.0727186149403418,-0.160063651803987,-0.330086175510504,0.0254933632832131,-0.0744178099511735,-0.0798718000466459,-0.161874557401492,-0.0641266088895524,-0.0580699409593565,0.0663098980520738,-0.00928469148591893,0.0157662767143209,-0.152389042891061,0.200689720947902,-0.0696455372635606,-0.407483696675004,-0.0006016121913004,0.200772624981138,0.00590758078484456,-0.0433307723407929,0.0131319637421064,0.0589612761178849,-0.04717133964624,0.0728824530522315,0.0273132588823946,-0.10312837722293,-0.0285812888733191,0.168210074847863,0.0393275324483727,0.0373349092006609,0.0179098774449637,0.033140711351424,-0.016143954973603,0.0100529098849888,0.0118388532944989
"Income",0.152517112204744,0.0123121113456708,1,0.00982265459030642,-0.00120226277458845,-0.0276434096749438,-0.0231678703853312,0.0442060521547456,0.117660558945236,-0.230856731925627,0.0195911966008942,0.0425065102052352,-0.0811487934892878,0.0497757043999964,-0.0340928208319316,0.035969950238171,-0.0392665331398388,-0.0186513410673642,0.0871980957231177,0.00765028389666146,0.0226810198478495,0.0376155094824986,-0.0141505180914598,0.00432831882045439,-0.0152359150230983,0.0267223838858827,0.0493809206174488,-0.0500466665438329,0.063023945218947,0.00515125751309166,-0.0318895552992197,0.0392280428377927,0.0123260582404142,-0.0448922735459213,-0.0193926580956142,0.00678252261192226,-0.0518451019194199,-0.0538106993383328,-0.126043978922873,0.0207391644184,0.0233410986662255,-0.0127242579094998,-0.00291443157962719,-0.00498045309939289,-0.0604143816007689,-0.0120807283637917,0.0137054904110946,-0.0315153648583127,0.0441062462577084,-0.0259375316940934,-0.0231663625824011,0.0078177276626453,-0.0134859658011957,-0.0263566655922112,0.0852093313206251,0.0149121300703247,-0.026591749610367,0.0361459649433526,0.0155572923183953,0.0151014543528299,-0.00146221554093284,-0.00945912182373465,-0.00682730311137823,0.0444167762685394,-0.0333156008857212,-0.00531383775470481,0.0213959086365574,-0.0394236871200438,0.0395148913704141,-0.0250267837306654,0.074754201520208,-0.0229379108932752,-0.0592026961217398,-0.0753909506258431,-0.0020402681370491,-0.0118486460084172,-0.014781414454728,-0.0999581834869013,-0.0499281882119997,0.0530761670703844,-0.011924385972029,-0.039695175559765,0.0101347017886584,-0.0231689883710385,-0.0113844609528725,0.0348417907999345,-0.116083622761439,-0.0216169457589504,0.00856819859752668,0.0960739759523667,-0.0272094271571079,0.0108930014055788,-0.0839474942129465,-0.0593732859212658,0.0305531077556297,0.00911919276251507,0.0326939565591013,-0.0771488814167682,-0.0246464654148158,0.0386732176057952,-0.055843293497442,-0.0193487150861351,0.0415950269044762,0.013296085853436,-0.0502505352591643,-0.0362173147730748,-0.00445675998082604,-0.135831370316835,0.29841300097446,-0.155650009380628,-0.18807648201667,0.104102844135198,-0.0903586128277498,-0.0361037799458469
"EducationLevel",-0.0849271017802363,0.0428202058708838,0.00982265459030642,1,-0.0297099497195358,-0.0112693614799013,-0.00986276487894821,-0.0264093306079812,-0.0341553231638882,0.0645249409973215,-0.025164827910819,-0.0112118674371989,-0.0140276525309657,-0.0015138260167397,0.041899871508976,-0.0526407087210562,-0.039798145856471,0.0102849933005288,0.240399558325809,0.0046079182360015,0.0121181485886664,-0.0221382885432532,-0.0273705955856495,0.0351754457601985,-0.00179907790302852,0.00512820192547907,-0.0439557310785042,0.00613399524016297,-0.0230867615087844,0.0185863769921796,0.00839862130444213,0.00813931203476842,-0.04917283135189,0.0123356138239562,0.0113209112611378,-0.0238324357199467,-0.010327422133306,0.028692936499296,0.0182369663102878,-0.0275331371978618,-0.0344646419992898,0.0192606294695055,-0.0238082782881987,-0.0115962162348485,0.0255072125417316,0.0234851314611561,-0.0215894929241615,-0.0212967404464635,0.0366207948643435,0.0227844391433621,0.0137773407454103,0.00778030452547959,0.0186288423182012,0.0135502654576739,-0.0643728686731287,-0.0127344470723051,0.0422087490200048,-0.0209176185603391,-0.0084586655985077,0.00664517650849122,0.0262953596407549,0.00975640946560539,-0.00457374273325643,-0.0317308400009636,0.0336526585861978,0.0405828330747431,0.0212779481388894,0.0183623867030624,-0.0283016161986349,-0.00659871210365809,-0.00989301632924813,-0.011711431928845,0.0140840784436901,0.0374025208493841,0.0283274178059841,-0.0189547220725581,0.0798401679057285,0.037819471681078,0.0865180605540922,-0.0434402787538402,0.00458032661886268,-0.0257901819643747,-0.0464452052894156,-0.0169913244658341,0.0204359097825245,-0.0181210301633577,0.0260594511667161,-0.00627217143933359,0.0205062889393176,-0.0185378239403836,-0.0169641117474597,0.018186490788673,0.00604375206939653,0.0456243829479873,-0.0301921413327882,0.0170248500175728,-0.0311530989503322,0.00401781827498503,0.0229333712454569,0.0156602317541295,0.0431945388057884,-0.00116895908836138,-0.0230914539349046,-0.0181938626440279,0.0244506530337908,0.0428599429827282,0.022444435643648,0.0874491090118208,0.0808440957057097,0.0722307194252016,0.09424608940137,-0.0655851292905354,0.0534577139977661,0.0282115200801713
"Party",-0.0211050948339453,0.102363910157559,-0.00120226277458845,-0.0297099497195358,1,0.0896012083814043,0.0172548952132903,-0.0233579833257602,0.00901320754129012,0.0495089293172969,-0.00713336560508999,0.00959164081620031,-0.0437727553768211,-0.00801962283311572,-0.0781960704273458,-0.0539151428063725,-0.0346617285043575,-0.00838158193237841,-0.0817460442275983,0.0136980347357085,0.0952628736940396,0.0443869125083505,-0.0366798469298947,0.0453091610169362,0.0012287662512382,-0.0716428815331191,-0.0310341928907447,-0.0494900779894769,0.0212967605892336,0.046045120966252,-0.0234069297408957,-0.0599844484186857,0.0204375806531608,-0.000787726252802404,0.0278528080349294,0.033990650876505,0.00651322262104534,-0.0219190917847109,0.0172016724381271,-0.0586272712678527,-0.0225654052737897,0.00502974250090681,-0.00101331579615236,-0.0145372109444191,0.219961850341183,0.0339269335630039,-0.0323749408727121,-0.0262563143302759,0.0172795466474137,-0.0438253589787106,0.0448336914494134,-0.0204887644171179,-0.00208053513383582,0.0527445458911723,-0.0226025062122197,-0.0140735730996466,0.234154731599706,-0.0490470012161949,-0.0287271462571813,0.00202297987917778,-0.0480130864711804,-0.00220425883348391,-0.024272995135447,0.0562949218450052,-0.0135180792474646,-0.0157780436643495,-0.365905915571733,0.0258315799748645,-0.0470542615887537,-0.0525972533812609,-0.0560428680817301,-0.0629946576707617,-0.0144700012169307,0.0806185061875836,-0.0271210222660447,0.00245446023459239,-0.00251781261951277,0.108308222681493,0.0354661833663807,-0.0322706366534701,-0.0491257183580045,-0.0690393750005556,0.0125196121682758,-0.0371146030231833,-0.0183470976808273,-0.0046294893461726,-0.0162334276835726,0.0084584796778182,0.0289044653728597,-0.0635674831395967,-0.0215060117574088,-0.105685513075662,0.0532214063365497,-0.0446830454492044,-0.0619127385107119,-0.0563864458185222,0.0146326259155934,0.0280149700876659,-0.0669436932552819,-0.0103247252620575,0.126419791035561,0.168523037150143,0.00128998686043263,0.00253615235836752,-0.0745760109575559,0.229856605462073,0.0431078528725245,0.0527990898672924,0.040010494464376,0.0837371325924238,0.0623200972259047,-0.0315437965293567,0.0287394469669984,0.00879606722089914
"Happy",-0.0667145834107746,0.0285597906209173,-0.0276434096749438,-0.0112693614799013,0.0896012083814043,1,-0.0980329741099803,-0.0367519306524236,-0.0216538142448244,0.0851860899332185,-0.000935834375317038,0.0535546988995294,-0.0418648215037104,-0.0706481475387008,-0.0173923016312768,-0.0231271212457234,-0.0188858068856895,-0.0929128217652527,-0.00583858446129622,-0.00417260729986835,0.0195933545809055,-0.0264138819755451,-0.0678525260012354,0.12806693635057,0.168350540250453,0.0360681469575425,-0.0624451932020746,-0.0257489043323368,-0.0240950411476937,-0.0123612673049375,-0.0497163031134542,-0.287988879560491,-0.101652424814496,0.0461559208865475,0.0250248978458234,-0.0646604072330428,0.0861819632973397,0.056565595140232,0.0503610701380997,-0.113734519498046,-0.101594526015193,0.0533728345036517,0.0143480915500569,0.137817579650444,0.0726632251946455,0.0413738811330167,-0.0922646914259904,-0.105425296201118,0.0529226274502581,-0.0133239781702102,-0.00578785818358077,0.00331609001715036,-0.0283354071106785,0.0698065455044148,-0.0280198277354839,-0.0692931280838925,0.124841727118971,-0.0740268199405192,-0.0753682016891244,0.0484051149958212,0.0715173767263643,0.0742597973126381,0.00841848070421379,-0.0300494498524889,-0.0900634340923231,0.0525989004321117,-0.0554220543808381,0.133032653043073,-0.0871855360890531,-0.107383719216106,0.0334769840344755,-0.119305753441786,-0.125113836294357,0.241678196813756,-0.00483409861598808,0.0651872040135784,0.17747975533013,0.0785754055497168,0.0412821186702005,-0.0723369830471099,-0.029642026312243,-0.0158432261302961,0.0166755103416365,0.0318822176781552,-0.0165386259622875,-0.175332156788709,-0.0518307194501456,0.105293777987306,0.188798865484342,-0.0980981825601771,-0.273565269362706,-0.0378147822524951,0.0411598242208006,-0.0453473221526405,-0.0646593243921719,0.047843327484564,-0.0540213306992263,0.0319603249995583,-0.0621502401097217,-0.00498694300981536,0.0286011749219282,0.161750343370793,0.061450331900336,0.0437887125118821,0.0323898446018144,0.126807773274222,0.061705955328692,0.112737207286266,0.0606096222070764,0.0761057008458473,0.154318184168597,-0.0250929079955226,-0.0163598756552462,0.0688071278317798
"Q124742",0.131167216484152,-0.0360880380693202,-0.0231678703853312,-0.00986276487894821,0.0172548952132903,-0.0980329741099803,1,0.0641074832417783,0.0831462188037574,0.114708083785428,0.0546598982519346,-0.0224715575733275,-0.0605224095391533,0.0128185679198571,-0.00988665798237534,0.0753284249780008,0.0623666088171944,0.010177046941304,0.0552575448467001,0.0284279336880005,-0.0837516123234418,0.0790994290876527,0.0795228844946194,0.0297081183827156,0.0279934336874028,-0.0313746083620405,-0.0105322959175859,-0.00898232692824537,0.0925786724704021,-0.0948075085356318,0.0889677616306417,0.113937957366452,0.102402029474267,0.037976500047784,-0.0181664958256015,0.00819448556701934,-0.029904243128984,-0.0708557163945944,0.0193904234392483,0.125978634753194,0.0322541750818345,-0.0235936967679754,-0.0105522791172677,-0.0590433201584304,-0.0614855865899287,-0.0140068686919035,0.0565029395793035,0.0903535746335853,0.0161519122528072,-0.0158802423836615,0.0353373507700742,0.0763958879908655,-0.00158794872044895,0.0721392771172935,0.017464495125807,-0.0998868230230623,-0.0301593797701178,0.0641304849889626,0.0243967662698259,0.00858073925875055,-0.00843503370302011,-0.0575834742336521,0.0778944260437653,0.0254290874202846,0.0412168677671461,-0.0157024492952844,0.0338184449054802,-0.0684603972702284,0.0624910055152221,-0.0172671970731054,0.0616242275665779,-0.0562540394447687,0.0619658109239449,-0.100424229049785,-0.0269060558448655,-0.0292884829422422,-0.152435238443385,0.00390852023434909,0.0941952943298238,0.0655019890809117,-0.0149736417906896,0.0443609883024548,0.0399688035727167,0.0239269849137222,0.0350951970442057,0.190813337678233,0.00815577397404518,-0.0588237610072266,-0.0132651350287803,0.0341356176909798,0.0723042010630957,0.0557825643459848,0.0435354306513301,-0.0114529553176014,0.0409931735336059,-0.0205752129737324,0.0256555734799673,-0.0546973536021728,-0.0166224104956559,-0.0140892525823067,-0.0207583390106548,-0.0709830562834579,0.052336381874442,-0.00593993609161574,0.050174311271403,-0.0141833743922093,-0.0061157639316876,-0.0290107537676126,-0.035497320966272,-0.0743082373434676,-0.0796861768728483,0.0904390501477733,-0.0280874703918124,-0.110808319254818
"Q124122",0.127550540108427,-0.013012948593416,0.0442060521547456,-0.0264093306079812,-0.0233579833257602,-0.0367519306524236,0.0641074832417783,1,0.0382506676719293,-0.0122837332605074,0.0058435972323315,-0.0129128861635416,0.00592153128221255,0.0427891861000263,0.0297250208049367,0.0670502857034812,0.109263723178693,0.0451171298248762,0.0207295798307754,-0.0686057197897262,-0.0060513352111006,0.0536687189435562,0.0242861082119672,0.00940926416312714,0.00741305476919162,-0.00411681623793774,0.0121379546244458,-0.0226279305902795,0.0357734707041413,-0.042867587801815,0.0215367090662502,0.0756323277045091,0.118554484661481,-0.0461536316302364,-0.036602132446106,0.0266026990936054,-0.0556819080745997,-0.0254115225136303,0.00854349443123331,0.0545257579409937,0.0715196563999695,-0.0446372527951694,-0.00807655177823919,0.0267153780835289,-0.0149814878057659,-0.0366032967780325,0.0391218964933197,0.0320985601096525,-0.0309713349115138,0.0272059548664193,-0.0196397441657176,0.0413168158458968,-0.0182698658917395,-0.0183024302417348,0.0521924630085298,0.0102250317966548,-0.0446778330157156,0.00315895710658632,0.0220720955072748,0.0267631972524413,-0.00403976450250909,-0.141476996494092,0.0277850113291696,-0.00597845050865255,0.0845004343168372,0.0494183433017418,0.0334530601724443,-0.0462280557776455,0.0683359856532384,-0.0477403422852982,-0.0702075837446813,0.0233656782005236,0.0345985405500343,-0.0987646817448344,-0.0272760362544202,-0.0473895737793951,-0.0699108041161275,-0.042010705486871,0.0114843693531263,0.0638729455069219,-0.0394795732770748,-0.0145739400196943,0.0350375015548224,0.00523970078758362,0.0905057097819224,0.0526914395224506,0.0253704375472453,-0.028727281263725,0.0200784313319336,0.062297229763974,0.0406742884466823,0.0790500394950731,0.0141797939344016,-0.00943731252063674,0.054314195138231,0.0772785666243444,0.00129965436002364,-0.0282192016379822,-0.0108071430054462,-0.00112778927661289,0.0501387235725811,-0.03627212974037,0.0468886238375348,-0.0124692054217597,-0.0238830699422932,-0.0485304554265341,0.0133916551225964,-0.0048973592196531,0.0193765810047062,-0.00909005182874992,-0.0526555438681455,0.101875452587995,-0.0426857934956713,-0.107412240479518
"Q123464",0.133250517231044,-0.0604137174877353,0.117660558945236,-0.0341553231638882,0.00901320754129012,-0.0216538142448244,0.0831462188037574,0.0382506676719293,1,-0.157853666507058,0.0309898629465956,-0.0190805218422825,-0.00822776600605726,0.0487174179168327,-0.0254450303560797,0.104720384614505,-0.00413516393878308,0.00434270217094108,0.0383850086262308,-0.0709596043352523,-0.0311863819122286,0.0208456883078589,0.0137440858806627,-0.038278427152354,-0.00550981195546649,-0.0231081651897862,-0.00286026244081718,0.019102912846587,0.112000893209792,-0.0390612627581734,-0.0483923404194529,0.0493652177982477,0.0199662502878091,-0.0936746640258975,-0.0232957934671193,-0.0407060137367678,0.00478461119991283,-0.0478768345309221,-0.0783573112972052,0.0633374227613772,0.0735173463284393,0.0124307724168208,0.026654081450755,0.0234518485731655,-0.0293546989624691,-0.0374232977898623,0.0238659713925037,-0.01714672510411,0.00112040357905428,-0.0231315940726018,-0.0565915577089657,0.0119156165611328,-0.0482444091912998,0.000674330483855256,0.0846048705671615,-0.0672514193474777,0.0148962157357009,0.0688692856872744,0.0136722789070236,-0.0156523032111868,-0.0172917840252021,-0.027523856500968,0.0344585438732498,0.0136534742002154,0.00350177631897598,0.0173289304666759,0.0334663514279046,0.0119375588518352,0.0492026219254607,-0.0505306906556627,0.017881171472506,-0.0201487079749359,-0.0447200841389314,-0.0300839136161183,-0.00603896193842299,0.00714763224599515,0.00614360746995564,-0.0894076077464606,-0.0749250737133652,0.0403349815571314,0.00352383707090377,0.00183292188581395,0.0341677033279617,-0.0202040602691997,0.0434764615799137,0.0371151462110679,-0.0581659662295064,-0.0489456398476321,0.00119592714737027,0.112981174644323,0.00941483348019447,-0.0133651679634488,-0.0875186772600194,-0.0389089757751316,0.0790826085674415,0.0347164249948064,0.0305860233781064,-0.0589334484330927,0.0188741736137202,0.00646593212485794,-0.0231005736372901,0.00895155698219033,0.0129216529887467,0.00370684746869629,0.0602460202986016,0.0152073646369584,-0.0486719484780327,-0.141695726361843,-0.0713758335976463,-0.10375305775997,-0.14851962489461,0.102106881661468,-0.0775209719045154,-0.0529122564769485
"Q123621",-0.286569859228729,0.123857884212627,-0.230856731925627,0.0645249409973215,0.0495089293172969,0.0851860899332185,0.114708083785428,-0.0122837332605074,-0.157853666507058,1,-0.00940456524606942,-0.0363422253673163,0.0498310193198463,-0.123763783814782,0.207551994526314,-0.166758403785115,0.107347531450999,0.0147483935817942,-0.121948199860199,0.0110439982917462,0.0670641025650185,-0.0206358662952951,-0.0120132735740197,0.0577722028689476,0.0313959085377387,-0.00263956850475892,-0.150226084663219,0.00195602563010874,-0.179565135604829,0.032602723420722,0.165980982788008,-0.0471948858553372,-0.0309347232742269,0.140845798597258,0.0161348676672306,-0.0174229306554392,0.0494060636594433,0.158473728503903,0.347947531708771,-0.0764633416140785,-0.16899035497529,0.00543712601569659,-0.0206340674993372,0.0207503409929071,0.158844193355633,0.0973757667385034,-0.0475024098416837,-0.0270979042424876,0.043741771644568,0.0269167093597231,-0.0135575089495707,-0.0131106153379384,0.161533402988793,0.0775816411014569,-0.233579049450471,-0.00414842285176683,-0.00176770141559467,-0.0493059766289767,0.0458483314046426,-0.00689752763701589,-0.0233804688193543,-0.0186891831344474,0.0245090107371357,0.0115234659252905,0.165322601508,0.0366687789233546,-0.0614334068379997,-0.0140853502607207,-0.0524728237125116,0.0112070311174341,-0.130574245128891,-0.00547079591530465,0.211146590030335,0.136223825887465,0.0390443790612537,0.0125204211324271,0.0183564688940937,0.202640719845301,0.368724642399097,-0.096196268062988,0.0335524139126751,0.0652944440639317,0.0731379552370677,-0.0162299584880137,0.00707614757760628,-0.0706916762121633,0.26620166489075,0.0123879817996424,0.0383964930557174,0.0080310210705587,-0.0623085320315661,-0.0352117276399885,0.199477069584023,0.206379387901231,-0.111233084849568,0.0520028435512576,-0.132131125024456,0.108532987021217,0.0859739268863374,-0.0140695313435319,0.141812564749392,0.0178110449881568,-0.0652251986254607,0.0208588717032852,-0.0270081613386374,-0.00179143316089047,0.0239987409316203,0.194700446447698,0.0816436281964447,0.276286341835907,0.311950739597032,-0.201752615899171,0.256788773024969,-0.0587384595166287
